IndID,Activity,Mode,Origin,Destination,DepartureTime
125371,Shop,Walk,891,849,16:10:00
125371,Other,Transit,849,842,16:58:00
125371,Home,Transit,842,1245,18:40:00
10858,Other,Car,1054,1092,09:00:00
10858,Home,Car,1092,1054,15:30:00
12370,Other,Walk,154,597,13:42:00
12370,Shop,Car,597,119,17:55:00
12370,Home,Car,119,154,18:30:00
123733,Other,Car,135,131,14:30:00
123733,Home,Car,131,135,15:30:00
85849,Other,Transit,207,191,09:00:00
85849,Home,Transit,191,207,14:00:00
31270,Work,Transit,174,703,06:30:00
31270,Other,Walk,703,1327,15:00:00
31270,Home,Transit,1327,174,21:35:00
103132,Other,Transit,120,140,09:30:00
103132,Home,Transit,140,120,14:40:00
42589,Other,Walk,33,33,08:10:00
42589,Home,Walk,33,33,08:20:00
42589,Shop,Car,33,44,09:40:00
42589,Home,Car,44,33,11:15:00
42589,Other,Car,33,69,11:55:00
42589,Home,Car,69,33,12:05:00
6700,Other,Car,117,102,08:15:00
6700,Work,Transit,102,1073,08:45:00
6700,Home,Transit,1073,117,17:10:00
50968,Work,Transit,226,1195,07:45:00
50968,Home,Transit,1195,226,17:36:00
113611,Work,Transit,201,171,08:10:00
113611,Home,Transit,171,201,16:45:00
84379,Work,Bike,139,1270,07:50:00
84379,Other,Bike,1270,165,15:10:00
84379,Home,Bike,165,139,15:55:00
84379,Shop,Walk,139,139,19:00:00
84379,Home,Walk,139,139,19:15:00
105022,Work,Car,228,219,08:00:00
105022,Other,Car,219,200,12:45:00
105022,Home,Car,200,228,16:00:00
67453,Other,Transit,193,1370,08:20:00
67453,Other,Walk,1370,1304,16:15:00
67453,Home,Transit,1304,193,17:30:00
43744,Other,Transit,1274,0,13:15:00
43744,Shop,Transit,0,1243,15:00:00
43744,Home,Transit,1243,1274,15:50:00
16612,Other,Transit,1318,141,14:50:00
16612,Home,Transit,141,1318,17:30:00
76987,Other,Transit,1318,1369,12:30:00
76987,Home,Transit,1369,1318,17:00:00
14659,Shop,Transit,1314,1358,13:00:00
14659,Home,Walk,1358,1314,17:00:00
91036,Other,Transit,1236,1220,10:45:00
91036,Other,Transit,1220,1219,11:33:00
91036,Home,Transit,1219,1236,16:04:00
91036,Other,Transit,1236,1202,18:50:00
91036,Home,Transit,1202,1236,21:45:00
102859,Other,Transit,1252,1219,09:30:00
102859,Home,Transit,1219,1252,16:15:00
78226,Other,Transit,33,70,10:00:00
78226,Home,Transit,70,33,13:00:00
102733,Other,Bike,6,5,08:00:00
102733,Work,Bike,5,1336,08:25:00
102733,Home,Bike,1336,6,15:00:00
102733,Other,Walk,6,6,15:30:00
102733,Home,Walk,6,6,16:05:00
64009,Work,Transit,1,461,06:50:00
64009,Home,Transit,461,1,16:10:00
105526,Other,Walk,18,16,08:30:00
105526,Work,Transit,16,1206,08:50:00
105526,Other,Walk,1206,1296,12:00:00
105526,Work,Walk,1296,1206,13:20:00
105526,Home,Transit,1206,18,17:20:00
25642,Work,Transit,61,1277,07:15:00
25642,Home,Transit,1277,61,16:30:00
10480,Work,Transit,49,1366,06:53:00
10480,Home,Transit,1366,49,17:30:00
8506,Work,Transit,18,957,06:45:00
8506,Home,Transit,957,18,18:00:00
77827,Work,Bike,0,901,08:00:00
77827,Home,Bike,901,0,16:30:00
90889,Shop,Walk,938,939,13:00:00
90889,Home,Transit,939,938,13:55:00
49036,Other,Transit,945,165,08:00:00
49036,Home,Transit,165,945,16:00:00
64870,Other,Transit,796,1203,14:20:00
64870,Other,Transit,1203,305,15:45:00
64870,Home,Transit,305,796,19:30:00
48889,Other,Car,773,831,12:45:00
48889,Home,Car,831,773,14:55:00
48889,Other,Car,773,189,16:55:00
48889,Home,Car,189,773,19:55:00
3907,Other,Transit,385,379,09:00:00
3907,Home,Transit,379,385,10:55:00
112771,Other,Car,240,240,13:15:00
112771,Home,Car,240,240,16:05:00
122725,Other,Bike,261,261,06:00:00
122725,Home,Bike,261,261,08:00:00
122725,Shop,Bike,261,240,09:00:00
122725,Home,Bike,240,261,12:00:00
10186,Other,Car,760,918,14:50:00
10186,Shop,Car,918,743,16:00:00
10186,Other,Car,743,918,16:55:00
10186,Home,Transit,918,760,18:05:00
112561,Other,Car,302,525,06:30:00
112561,Home,Car,525,302,16:30:00
35218,Other,Car,304,301,14:30:00
35218,Home,Car,301,304,17:00:00
11446,Other,Bike,316,299,07:30:00
11446,Home,Bike,299,316,08:30:00
11446,Other,Car,316,303,08:45:00
11446,Other,Car,303,301,16:10:00
11446,Home,Car,301,316,16:30:00
11446,Other,Bike,316,299,20:00:00
11446,Home,Bike,299,316,20:30:00
31963,Work,Bike,606,608,07:30:00
31963,Home,Bike,608,606,11:30:00
50380,Shop,Transit,601,1319,12:30:00
50380,Home,Transit,1319,601,13:30:00
88957,Other,Car,594,165,08:35:00
88957,Other,Car,165,139,09:15:00
88957,Other,Car,139,165,09:50:00
88957,Home,Car,165,594,11:05:00
88957,Other,Car,594,572,11:55:00
88957,Home,Car,572,594,16:45:00
40657,Work,Transit,131,1228,08:00:00
40657,Home,Transit,1228,131,10:00:00
40657,Other,Car,131,476,11:30:00
40657,Home,Car,476,131,13:00:00
124384,Work,Car,116,213,06:53:00
124384,Home,Car,213,116,19:02:00
114178,Work,Transit,97,1290,07:35:00
114178,Home,Transit,1290,97,14:10:00
30934,Work,Transit,115,1289,06:10:00
30934,Other,Transit,1289,154,16:00:00
30934,Home,Transit,154,115,17:40:00
45256,Work,Bike,173,1275,08:00:00
45256,Other,Bike,1275,1303,14:00:00
45256,Home,Bike,1303,173,17:00:00
110776,Other,Car,165,1326,09:20:00
110776,Home,Walk,1326,165,10:25:00
110776,Other,Walk,165,165,12:20:00
110776,Home,Walk,165,165,13:30:00
110776,Other,Walk,165,1353,13:50:00
110776,Shop,Transit,1353,1268,16:20:00
110776,Home,Transit,1268,165,16:55:00
124006,Other,Car,535,531,09:10:00
124006,Home,Car,531,535,10:45:00
123691,Work,Transit,839,1257,09:15:00
123691,Other,Walk,1257,38,14:10:00
123691,Home,Transit,38,839,18:00:00
20371,Other,Car,866,839,12:00:00
20371,Home,Car,839,866,15:00:00
94312,Other,Walk,1232,1232,08:30:00
94312,Work,Bike,1232,900,08:50:00
94312,Home,Bike,900,1232,18:00:00
30535,Work,Transit,1253,211,05:30:00
30535,Home,Transit,211,1253,15:00:00
45046,Other,Walk,1254,1254,07:50:00
45046,Other,Transit,1254,1221,08:15:00
45046,Other,Transit,1221,1213,11:02:00
45046,Other,Transit,1213,460,15:05:00
45046,Home,Walk,460,1254,16:20:00
10795,Work,Transit,1284,170,07:10:00
10795,Home,Walk,170,1284,17:15:00
41980,Work,Transit,1240,1196,08:50:00
41980,Home,Transit,1196,1240,18:06:00
105442,Work,Transit,1290,939,08:00:00
105442,Shop,Transit,939,1215,16:40:00
105442,Home,Walk,1215,1290,17:45:00
36688,Shop,Walk,1349,1203,12:35:00
36688,Home,Walk,1203,1349,13:45:00
1051,Work,Transit,1209,259,07:15:00
1051,Home,Transit,259,1209,17:00:00
12034,Other,Transit,1235,1220,12:15:00
12034,Home,Transit,1220,1235,13:50:00
12034,Shop,Walk,1235,1235,18:30:00
12034,Home,Walk,1235,1235,18:40:00
91477,Work,Bike,1348,1215,07:50:00
91477,Other,Bike,1215,1223,13:00:00
91477,Work,Bike,1223,1215,14:00:00
91477,Home,Walk,1215,1348,17:45:00
52207,Work,Transit,1284,1358,07:50:00
52207,Home,Transit,1358,1284,16:00:00
126820,Work,Bike,1243,1281,08:45:00
126820,Other,Walk,1281,1206,11:30:00
126820,Work,Walk,1206,1281,12:30:00
126820,Shop,Walk,1281,1278,18:00:00
126820,Home,Bike,1278,1243,18:30:00
45445,Other,Transit,751,1323,07:00:00
45445,Other,Transit,1323,119,14:36:00
45445,Home,Transit,119,751,15:40:00
128395,Other,Walk,282,282,15:00:00
128395,Home,Walk,282,282,15:50:00
77974,Other,Transit,1323,101,10:30:00
77974,Home,Transit,101,1323,15:40:00
8275,Other,Transit,461,97,07:57:00
8275,Home,Transit,97,461,15:30:00
20182,Other,Transit,356,366,12:00:00
20182,Home,Walk,366,356,16:00:00
79717,Other,Car,354,328,14:00:00
79717,Shop,Car,328,354,14:20:00
79717,Home,Car,354,354,15:00:00
114493,Shop,Walk,553,553,11:29:00
114493,Other,Walk,553,551,11:43:00
114493,Home,Car,551,553,15:53:00
39376,Other,Transit,300,733,12:52:00
39376,Home,Transit,733,300,14:43:00
50653,Other,Car,425,430,18:15:00
50653,Home,Car,430,425,21:10:00
37150,Other,Transit,428,1210,09:00:00
37150,Home,Transit,1210,428,10:59:00
37150,Other,Transit,428,414,14:10:00
37150,Home,Transit,414,428,15:00:00
37150,Other,Transit,428,430,18:21:00
37150,Home,Transit,430,428,19:30:00
38074,Other,Car,414,595,14:00:00
38074,Home,Car,595,414,18:15:00
129214,Work,Transit,1345,1278,08:00:00
129214,Home,Transit,1278,1345,16:30:00
103384,Work,Transit,1261,1309,08:30:00
103384,Home,Transit,1309,1261,16:30:00
17851,Other,Transit,1324,1296,07:45:00
17851,Home,Transit,1296,1324,19:00:00
12412,Work,Bike,1358,1278,07:35:00
12412,Home,Bike,1278,1358,17:10:00
71926,Work,Transit,1319,1199,07:30:00
71926,Home,Transit,1199,1319,16:30:00
29443,Work,Transit,1318,939,05:45:00
29443,Home,Transit,939,1318,15:00:00
7162,Work,Transit,1261,1226,07:15:00
7162,Home,Transit,1226,1261,16:45:00
7162,Other,Car,1261,108,18:30:00
7162,Other,Car,108,108,19:20:00
7162,Shop,Car,108,456,19:30:00
7162,Home,Car,456,1261,20:15:00
126946,Other,Walk,1319,1342,08:00:00
126946,Work,Transit,1342,900,08:20:00
126946,Other,Transit,900,1342,15:54:00
126946,Home,Walk,1342,1319,16:45:00
14575,Other,Car,727,719,10:10:00
14575,Home,Car,719,727,12:00:00
69133,Work,Car,439,594,07:15:00
69133,Home,Car,594,439,17:05:00
87319,Work,Walk,463,441,07:40:00
87319,Home,Walk,441,463,17:00:00
11551,Work,Car,470,861,08:05:00
11551,Home,Car,861,470,16:20:00
13630,Other,Car,474,460,07:15:00
13630,Work,Car,460,107,07:30:00
13630,Other,Car,107,463,16:10:00
13630,Home,Car,463,474,18:15:00
76567,Other,Walk,446,461,07:30:00
76567,Work,Transit,461,1192,07:45:00
76567,Home,Transit,1192,446,18:10:00
36541,Shop,Car,460,213,10:30:00
36541,Home,Car,213,460,14:00:00
128878,Work,Car,28,745,06:30:00
128878,Home,Car,745,28,16:45:00
11761,Work,Transit,765,906,07:13:00
11761,Home,Transit,906,765,12:50:00
79465,Work,Transit,761,753,06:10:00
79465,Other,Transit,753,1333,16:45:00
79465,Home,Transit,1333,761,20:20:00
20266,Work,Car,762,735,07:45:00
20266,Shop,Car,735,743,16:30:00
20266,Home,Car,743,762,17:15:00
20266,Other,Car,762,743,17:35:00
20266,Home,Car,743,762,19:10:00
32173,Work,Transit,764,1289,06:45:00
32173,Other,Transit,1289,735,11:30:00
32173,Work,Transit,735,1289,12:50:00
32173,Home,Transit,1289,764,19:00:00
33013,Other,Transit,882,894,09:25:00
33013,Home,Transit,894,882,15:20:00
33013,Work,Bike,882,883,16:45:00
33013,Home,Bike,883,882,19:10:00
30913,Other,Transit,883,1323,07:30:00
30913,Home,Transit,1323,883,15:10:00
30913,Other,Transit,883,897,17:00:00
30913,Home,Transit,897,883,18:45:00
124132,Work,Car,1039,1023,07:33:00
124132,Home,Car,1023,1039,16:18:00
117685,Other,Walk,1122,1130,07:30:00
117685,Work,Transit,1130,1296,07:50:00
117685,Other,Transit,1296,1130,15:50:00
117685,Home,Walk,1130,1122,16:50:00
37528,Work,Car,1114,1123,06:40:00
37528,Shop,Car,1123,1132,16:15:00
37528,Home,Car,1132,1114,17:10:00
64765,Work,Car,1162,1131,07:35:00
64765,Home,Car,1131,1162,17:55:00
129004,Other,Walk,1155,1116,08:00:00
129004,Work,Transit,1116,1199,08:10:00
129004,Home,Transit,1199,1155,16:00:00
129004,Other,Car,1155,1112,19:15:00
129004,Home,Car,1112,1155,20:50:00
32320,Work,Transit,899,52,07:40:00
32320,Other,Transit,52,49,10:00:00
32320,Work,Walk,49,73,12:15:00
32320,Home,Transit,73,899,15:15:00
32320,Other,Walk,899,955,16:30:00
32320,Home,Walk,955,899,18:00:00
108634,Work,Walk,918,89,07:50:00
108634,Other,Car,89,957,12:00:00
108634,Home,Car,957,918,14:10:00
50800,Work,Bike,898,43,07:30:00
50800,Home,Bike,43,898,17:00:00
80599,Other,Car,915,173,07:00:00
80599,Work,Car,173,182,07:30:00
80599,Shop,Car,182,909,17:15:00
80599,Home,Car,909,915,18:15:00
13735,Work,Transit,900,1327,09:05:00
13735,Other,Walk,1327,1296,16:35:00
13735,Home,Transit,1296,900,18:50:00
56134,Work,Car,910,928,08:00:00
56134,Home,Car,928,910,14:30:00
45109,Work,Transit,918,1336,07:30:00
45109,Other,Transit,1336,918,16:00:00
45109,Home,Bike,918,918,16:35:00
51430,Work,Bike,898,61,07:10:00
51430,Home,Bike,61,898,17:15:00
51430,Shop,Bike,898,899,17:50:00
51430,Shop,Walk,899,899,18:10:00
51430,Home,Walk,899,898,18:40:00
48364,Work,Transit,684,733,07:30:00
48364,Other,Transit,733,1214,15:30:00
48364,Home,Transit,1214,684,16:30:00
44731,Work,Car,505,465,06:00:00
44731,Home,Car,465,505,15:00:00
35743,Work,Car,519,216,06:00:00
35743,Home,Car,216,519,15:00:00
128794,Work,Car,530,589,07:15:00
128794,Home,Car,589,530,16:50:00
36562,Work,Bike,530,464,07:30:00
36562,Home,Bike,464,530,16:15:00
13693,Work,Car,488,491,07:15:00
13693,Home,Car,491,488,16:30:00
87361,Other,Walk,499,500,09:45:00
87361,Home,Walk,500,499,11:20:00
35974,Work,Transit,331,1206,06:35:00
35974,Home,Transit,1206,331,17:45:00
63631,Other,Car,333,365,15:30:00
63631,Home,Car,365,333,18:00:00
85450,Work,Transit,348,608,06:55:00
85450,Shop,Transit,608,849,18:00:00
85450,Home,Transit,849,348,18:50:00
120730,Work,Transit,351,925,07:15:00
120730,Home,Transit,925,351,17:30:00
89797,Other,Car,330,354,07:10:00
89797,Work,Car,354,891,07:55:00
89797,Home,Car,891,330,19:00:00
3298,Other,Transit,358,1333,07:00:00
3298,Home,Transit,1333,358,16:10:00
64576,Work,Walk,782,818,06:30:00
64576,Home,Walk,818,782,17:00:00
127849,Work,Transit,851,1196,06:30:00
127849,Home,Transit,1196,851,15:40:00
127786,Work,Car,878,356,08:00:00
127786,Home,Car,356,878,17:30:00
127660,Work,Transit,883,957,06:50:00
127660,Other,Transit,957,1278,17:10:00
127660,Home,Transit,1278,883,19:10:00
11845,Work,Bike,849,842,07:15:00
11845,Home,Bike,842,849,16:15:00
76483,Other,Transit,866,1195,08:07:00
76483,Home,Transit,1195,866,21:00:00
37213,Work,Transit,839,1199,08:00:00
37213,Home,Transit,1199,839,17:50:00
127282,Work,Transit,872,1357,07:30:00
127282,Home,Transit,1357,872,16:30:00
78499,Work,Car,562,562,07:45:00
78499,Home,Car,562,562,16:20:00
1135,Work,Car,577,589,07:00:00
1135,Other,Car,589,548,15:10:00
1135,Home,Car,548,577,15:40:00
113443,Other,Car,544,572,17:00:00
113443,Home,Transit,572,544,18:32:00
8380,Work,Bike,603,148,07:00:00
8380,Other,Transit,148,1219,10:20:00
8380,Work,Transit,1219,148,11:30:00
8380,Home,Bike,148,603,17:00:00
36268,Work,Transit,610,1243,06:40:00
36268,Home,Transit,1243,610,16:30:00
76672,Work,Car,307,960,05:40:00
76672,Home,Car,960,307,14:30:00
102754,Work,Transit,302,1278,06:15:00
102754,Home,Transit,1278,302,18:30:00
11488,Work,Transit,301,1205,06:20:00
11488,Home,Transit,1205,301,16:50:00
11488,Shop,Car,301,301,18:40:00
11488,Home,Car,301,301,19:25:00
10102,Work,Transit,303,1346,13:30:00
10102,Home,Transit,1346,303,18:00:00
9430,Work,Walk,301,303,07:30:00
9430,Home,Transit,303,301,15:30:00
8590,Work,Car,323,963,06:00:00
8590,Other,Car,963,89,11:30:00
8590,Work,Car,89,963,12:45:00
8590,Home,Car,963,323,17:00:00
50443,Other,Car,715,738,18:35:00
50443,Home,Car,738,715,21:25:00
20413,Work,Car,1080,1056,07:45:00
20413,Home,Car,1056,1080,16:10:00
129109,Work,Car,1085,1159,05:50:00
129109,Other,Car,1159,1054,15:30:00
129109,Home,Car,1054,1085,16:45:00
76798,Work,Transit,1079,1202,06:45:00
76798,Home,Transit,1202,1079,15:00:00
13651,Work,Car,1103,1046,08:10:00
13651,Other,Car,1046,1046,18:40:00
13651,Home,Car,1046,1103,20:20:00
51304,Other,Car,1082,1061,14:10:00
51304,Work,Transit,1061,1164,14:30:00
51304,Other,Transit,1164,1056,22:30:00
51304,Home,Transit,1056,1082,22:45:00
51493,Work,Car,379,61,07:37:00
51493,Other,Car,61,44,16:10:00
51493,Home,Car,44,379,17:30:00
84820,Work,Car,371,24,09:20:00
84820,Home,Car,24,371,18:10:00
37948,Work,Transit,388,1215,08:50:00
37948,Home,Transit,1215,388,16:10:00
51955,Work,Car,396,733,06:20:00
51955,Home,Car,733,396,16:35:00
35029,Work,Car,404,94,07:40:00
35029,Other,Car,94,48,12:15:00
35029,Other,Car,48,24,13:10:00
35029,Home,Car,24,404,13:50:00
35029,Other,Car,404,27,19:40:00
35029,Home,Car,27,404,21:20:00
35848,Work,Car,370,643,08:10:00
35848,Home,Car,643,370,18:40:00
24172,Work,Car,386,373,06:15:00
24172,Shop,Car,373,369,15:00:00
24172,Home,Car,369,386,15:38:00
5755,Work,Car,396,381,08:40:00
5755,Other,Car,381,387,15:40:00
5755,Other,Car,387,381,16:20:00
5755,Home,Car,381,396,17:20:00
5755,Other,Car,396,387,18:10:00
5755,Home,Car,387,396,20:00:00
86773,Work,Bike,960,1295,07:45:00
86773,Home,Bike,1295,960,17:10:00
110692,Work,Bike,963,89,07:00:00
110692,Home,Bike,89,963,16:00:00
110692,Other,Walk,963,966,20:00:00
110692,Home,Walk,966,963,22:00:00
53026,Work,Walk,923,971,07:10:00
53026,Home,Transit,971,923,16:30:00
38095,Work,Transit,928,1240,07:20:00
38095,Home,Transit,1240,928,15:20:00
128710,Work,Transit,942,1205,08:00:00
128710,Home,Transit,1205,942,17:45:00
42862,Work,Transit,969,1321,08:15:00
42862,Other,Transit,1321,158,14:45:00
42862,Other,Car,158,132,15:50:00
42862,Home,Car,132,969,16:50:00
5776,Work,Transit,969,1309,07:45:00
5776,Home,Transit,1309,969,16:45:00
5776,Other,Walk,969,969,17:45:00
5776,Home,Walk,969,969,19:05:00
91288,Work,Car,942,60,07:15:00
91288,Home,Car,60,942,16:30:00
80725,Work,Transit,979,1230,08:15:00
80725,Home,Transit,1230,979,21:30:00
36436,Other,Car,963,1219,07:00:00
36436,Work,Car,1219,1277,08:50:00
36436,Home,Car,1277,963,18:00:00
36436,Other,Car,963,966,20:00:00
36436,Home,Car,966,963,22:00:00
64660,Work,Car,1021,134,07:10:00
64660,Home,Car,134,1021,18:30:00
56239,Work,Car,993,989,06:15:00
56239,Home,Transit,989,993,15:15:00
84904,Other,Car,265,319,07:30:00
84904,Work,Car,319,287,08:25:00
84904,Home,Car,287,265,16:30:00
11068,Work,Transit,270,957,05:45:00
11068,Home,Transit,957,270,15:30:00
14911,Work,Car,295,379,07:10:00
14911,Home,Car,379,295,17:30:00
122515,Work,Transit,283,1276,05:15:00
122515,Home,Transit,1276,283,15:30:00
79129,Work,Transit,290,1221,12:50:00
79129,Home,Transit,1221,290,19:30:00
37003,Work,Transit,627,1310,07:55:00
37003,Home,Transit,1310,627,18:55:00
37360,Work,Transit,647,1337,06:45:00
37360,Home,Transit,1337,647,15:30:00
36667,Work,Transit,433,1342,07:00:00
36667,Other,Walk,1342,1267,17:15:00
36667,Home,Transit,1267,433,19:15:00
78184,Work,Car,419,925,05:50:00
78184,Other,Car,925,419,13:30:00
78184,Home,Car,419,419,14:30:00
79507,Other,Car,426,423,07:30:00
79507,Home,Car,423,426,13:00:00
79507,Work,Car,426,414,14:00:00
79507,Home,Car,414,426,17:30:00
114850,Work,Transit,430,1296,07:00:00
114850,Home,Transit,1296,430,17:00:00
33433,Other,Walk,954,1221,10:43:00
33433,Shop,Transit,1221,1286,14:25:00
33433,Other,Transit,1286,1339,14:45:00
33433,Shop,Transit,1339,971,15:50:00
33433,Home,Walk,971,954,17:20:00
33433,Other,Walk,954,938,19:30:00
33433,Home,Walk,938,954,19:40:00
114094,Other,Car,963,999,16:30:00
114094,Home,Car,999,963,21:00:00
79213,Work,Bike,935,1231,07:45:00
79213,Home,Bike,1231,935,17:20:00
79213,Shop,Walk,935,935,18:10:00
79213,Home,Walk,935,935,18:25:00
79213,Other,Transit,935,899,19:30:00
79213,Home,Walk,899,935,20:20:00
115060,Other,Car,924,969,08:00:00
115060,Work,Car,969,700,08:25:00
115060,Home,Car,700,924,16:49:00
57226,Other,Bike,958,948,07:50:00
57226,Work,Bike,948,1208,08:13:00
57226,Home,Bike,1208,958,17:07:00
57226,Shop,Car,958,909,18:30:00
57226,Home,Car,909,958,19:17:00
20518,Work,Bike,954,925,07:45:00
20518,Home,Bike,925,954,16:40:00
20518,Other,Car,954,197,18:45:00
20518,Home,Car,197,954,21:30:00
64807,Work,Car,815,815,07:30:00
64807,Home,Car,815,815,15:10:00
9409,Work,Transit,904,1252,06:35:00
9409,Home,Transit,1252,904,15:45:00
120940,Work,Transit,900,1203,05:48:00
120940,Home,Transit,1203,900,15:10:00
51913,Work,Transit,900,1192,07:55:00
51913,Home,Transit,1192,900,17:00:00
115123,Work,Transit,1371,348,08:40:00
115123,Home,Transit,348,1371,18:17:00
9094,Work,Transit,1353,121,10:00:00
9094,Home,Transit,121,1353,18:30:00
65143,Other,Walk,1270,1354,08:10:00
65143,Work,Bike,1354,1278,08:25:00
65143,Other,Walk,1278,1205,11:50:00
65143,Home,Bike,1205,1270,12:40:00
30976,Work,Car,1275,462,11:00:00
30976,Home,Car,462,1275,13:00:00
78121,Work,Transit,1324,754,07:10:00
78121,Home,Transit,754,1324,17:00:00
8611,Work,Bike,1340,1301,08:30:00
8611,Home,Bike,1301,1340,17:00:00
30808,Home,Transit,1324,1211,08:55:00
30808,Work,Walk,1211,1203,11:10:00
30808,Home,Transit,1203,1324,16:15:00
30808,Other,Walk,1324,1324,17:50:00
30808,Home,Walk,1324,1324,19:10:00
9115,Other,Walk,1326,1326,10:30:00
9115,Shop,Walk,1326,1326,11:40:00
9115,Home,Walk,1326,1326,12:05:00
84610,Work,Bike,727,957,06:45:00
84610,Home,Bike,957,727,16:10:00
5860,Work,Car,716,1374,07:00:00
5860,Home,Car,1374,716,17:00:00
24823,Other,Transit,722,764,07:30:00
24823,Home,Transit,764,722,17:00:00
24823,Shop,Car,722,714,18:00:00
24823,Home,Car,714,722,19:00:00
11509,Work,Bike,717,703,07:40:00
11509,Home,Bike,703,717,17:00:00
11509,Other,Car,717,657,18:10:00
11509,Home,Car,657,717,19:30:00
48196,Work,Bike,727,915,07:15:00
48196,Home,Bike,915,727,17:30:00
64702,Work,Bike,539,540,07:33:00
64702,Home,Bike,540,539,19:45:00
9472,Other,Car,531,539,06:30:00
9472,Work,Car,539,498,06:45:00
9472,Other,Car,498,539,16:03:00
9472,Home,Car,539,531,16:20:00
9472,Other,Car,531,535,17:40:00
9472,Home,Car,535,531,18:55:00
